left	top	width	height	conf	text	name
915	1083	42	20	96.536148	on	01073.jpg
983	1078	109	26	96.46154	cotton	01073.jpg
1120	1073	32	30	95.642082	in	01073.jpg
1181	1073	102	32	95.642082	South	01073.jpg
1310	1073	153	32	96.138435	Carolina	01073.jpg
1490	1074	116	41	96.138435	during	01073.jpg
360	1126	1248	39	-1.0		01073.jpg
360	1126	1248	39	-1.0		01073.jpg
360	1126	1248	39	-1.0		01073.jpg
360	1126	64	31	81.521004	and	01073.jpg
445	1126	194	39	96.455795	subsequent	01073.jpg
660	1132	34	24	96.382843	to	01073.jpg
713	1126	54	31	96.19619	the	01073.jpg
788	1126	83	32	96.090309	Civil	01073.jpg
893	1127	90	35	96.618645	War,	01073.jpg
1006	1127	117	30	96.217484	known	01073.jpg
1145	1138	35	20	96.441986	as	01073.jpg
1202	1128	53	30	96.772713	the	01073.jpg
1277	1128	80	31	96.695198	War	01073.jpg
1380	1128	151	31	95.946243	Between	01073.jpg
1555	1128	53	31	95.946243	the	01073.jpg
364	1180	213	37	-1.0		01073.jpg
364	1180	213	37	-1.0		01073.jpg
364	1180	213	37	-1.0		01073.jpg
364	1180	105	31	89.515884	States	01073.jpg
481	1191	6	26	89.515884	;	01073.jpg
504	1181	73	35	96.744293	and,	01073.jpg
404	1230	1204	38	-1.0		01073.jpg
404	1230	1204	38	-1.0		01073.jpg
404	1230	1204	38	-1.0		01073.jpg
404	1232	167	36	96.05777	Whereas,	01073.jpg
595	1230	70	32	96.05777	The	01073.jpg
688	1232	222	31	96.092422	Government	01073.jpg
933	1233	37	31	96.335983	of	01073.jpg
996	1233	52	31	95.949295	the	01073.jpg
1073	1233	122	32	96.668709	United	01073.jpg
1221	1233	106	31	95.846191	States	01073.jpg
1353	1235	57	29	95.734329	has	01073.jpg
1439	1233	102	31	95.768707	found	01073.jpg
1566	1243	42	21	95.768707	no	01073.jpg
359	1284	1250	43	-1.0		01073.jpg
359	1284	1250	43	-1.0		01073.jpg
359	1284	1250	43	-1.0		01073.jpg
359	1284	211	42	96.589828	satisfactory	01073.jpg
587	1286	129	31	96.618217	method	01073.jpg
734	1286	36	32	96.82795	of	01073.jpg
787	1287	167	40	96.741402	disposing	01073.jpg
969	1287	36	32	97.011749	of	01073.jpg
1021	1298	38	20	96.851585	or	01073.jpg
1075	1287	208	40	96.593201	distributing	01073.jpg
1299	1287	69	31	96.355782	said	01073.jpg
1385	1297	133	29	93.199783	money	01073.jpg
1503	1280	14	52	93.199783	;	01073.jpg
1535	1287	74	36	96.864967	and,	01073.jpg
404	1338	1199	42	-1.0		01073.jpg
404	1338	1199	42	-1.0		01073.jpg
404	1338	1199	42	-1.0		01073.jpg
404	1338	167	36	96.59613	Whereas,	01073.jpg
593	1338	30	31	96.749939	It	01073.jpg
644	1338	25	31	96.740189	is	01073.jpg
690	1339	144	31	96.614006	believed	01073.jpg
854	1340	69	30	96.126831	that	01073.jpg
942	1350	19	21	96.799042	a	01073.jpg
981	1340	68	40	96.013809	just	01073.jpg
1068	1341	64	30	95.764732	and	01073.jpg
1154	1340	158	40	95.764732	equitable	01073.jpg
1333	1343	131	28	96.383568	method	01073.jpg
1485	1341	38	29	93.059669	of	01073.jpg
1544	1339	59	31	92.85199	dis-	01073.jpg
363	1389	1230	42	-1.0		01073.jpg
363	1389	1230	42	-1.0		01073.jpg
363	1389	1230	42	-1.0		01073.jpg
363	1389	114	40	96.537949	posing	01073.jpg
496	1389	36	31	96.963882	of	01073.jpg
553	1390	64	30	96.735107	and	01073.jpg
638	1390	208	41	96.351158	distributing	01073.jpg
866	1390	70	32	96.421822	said	01073.jpg
956	1401	115	30	96.426613	money	01073.jpg
1094	1391	26	31	96.646172	is	01073.jpg
1141	1392	68	31	95.947617	that	01073.jpg
1230	1392	54	30	96.956619	the	01073.jpg
1306	1390	135	32	96.451279	Federal	01073.jpg
1463	1391	130	31	96.732719	Govern	01073.jpg
364	1441	1242	41	-1.0		01073.jpg
364	1441	1242	41	-1.0		01073.jpg
364	1441	1242	41	-1.0		01073.jpg
364	1446	86	26	95.776299	ment	01073.jpg
474	1447	111	25	95.776299	return	01073.jpg
611	1447	33	25	96.306068	to	01073.jpg
670	1442	77	30	96.337837	each	01073.jpg
775	1441	90	33	96.271042	State	01073.jpg
890	1442	41	31	96.475616	all	01073.jpg
957	1453	88	20	96.64373	sums	01073.jpg
1071	1443	173	31	96.736374	converted	01073.jpg
1272	1443	67	31	96.790886	into	01073.jpg
1364	1443	54	31	96.790886	the	01073.jpg
1446	1441	160	41	96.636292	Treasury	01073.jpg
363	1492	1244	43	-1.0		01073.jpg
363	1492	1244	43	-1.0		01073.jpg
363	1492	1244	43	-1.0		01073.jpg
363	1493	62	30	95.998787	and	01073.jpg
453	1493	131	30	96.150246	derived	01073.jpg
615	1492	86	31	96.68354	from	01073.jpg
728	1492	53	32	96.665184	the	01073.jpg
809	1493	129	40	95.557098	levying	01073.jpg
964	1495	63	30	95.402603	and	01073.jpg
1054	1494	170	41	96.625366	collecting	01073.jpg
1250	1494	37	31	96.61837	of	01073.jpg
1316	1494	102	32	96.434654	direct	01073.jpg
1447	1500	91	25	95.735382	taxes	01073.jpg
1567	1504	40	21	54.986782	on	01073.jpg
364	1544	551	38	-1.0		01073.jpg
364	1544	551	38	-1.0		01073.jpg
364	1544	551	38	-1.0		01073.jpg
364	1550	107	25	96.45813	cotton	01073.jpg
494	1544	85	31	94.86261	from	01073.jpg
599	1544	78	31	94.86261	such	01073.jpg
698	1544	125	37	95.186844	States;	01073.jpg
841	1545	74	37	95.186844	and,	01073.jpg
406	1596	1189	40	-1.0		01073.jpg
406	1596	1189	40	-1.0		01073.jpg
406	1596	1189	40	-1.0		01073.jpg
406	1596	166	38	96.706245	Whereas,	01073.jpg
594	1597	29	31	95.954491	It	01073.jpg
643	1597	26	31	96.862114	is	01073.jpg
688	1603	34	25	96.242233	to	01073.jpg
741	1597	53	31	96.98745	the	01073.jpg
813	1597	133	31	96.864738	interest	01073.jpg
966	1597	35	31	96.444527	of	01073.jpg
1022	1597	63	30	96.604683	this	01073.jpg
1108	1596	89	32	96.663841	State	01073.jpg
1217	1596	69	31	95.921333	that	01073.jpg
1305	1596	24	31	96.80262	it	01073.jpg
1348	1596	38	31	96.905876	be	01073.jpg
1406	1596	77	39	96.547142	duly	01073.jpg
1503	1606	92	30	96.398239	repre	01073.jpg
364	1647	1244	42	-1.0		01073.jpg
364	1647	1244	42	-1.0		01073.jpg
364	1647	1244	42	-1.0		01073.jpg
364	1648	110	31	96.838417	sented	01073.jpg
493	1648	31	30	96.273232	in	01073.jpg
543	1649	53	30	96.39196	the	01073.jpg
613	1659	119	30	96.67218	proper	01073.jpg
750	1649	99	31	96.624825	effort	01073.jpg
866	1654	33	25	96.855713	to	01073.jpg
917	1658	137	31	96.867439	procure	01073.jpg
1076	1647	86	32	96.436584	from	01073.jpg
1180	1648	54	31	96.550514	the	01073.jpg
1253	1647	122	32	96.810875	United	01073.jpg
1397	1647	107	32	93.235992	States	01073.jpg
1523	1647	85	32	92.096939	Gov-	01073.jpg
363	1698	1248	41	-1.0		01073.jpg
363	1698	1248	41	-1.0		01073.jpg
363	1698	1248	41	-1.0		01073.jpg
363	1705	146	25	96.710152	ernment	01073.jpg
533	1701	54	29	96.502602	the	01073.jpg
611	1700	166	31	96.373718	aforesaid	01073.jpg
804	1700	99	31	96.373718	funds	01073.jpg
927	1700	63	31	94.366989	and	01073.jpg
1016	1700	70	30	96.738136	that	01073.jpg
1110	1699	41	31	96.583092	its	01073.jpg
1175	1705	96	34	96.319542	agent	01073.jpg
1295	1709	38	21	96.651093	or	01073.jpg
1359	1698	252	41	96.403244	representative	01073.jpg
363	1750	1248	42	-1.0		01073.jpg
363	1750	1248	42	-1.0		01073.jpg
363	1750	1248	42	-1.0		01073.jpg
363	1751	167	40	95.567253	employed	01073.jpg
560	1751	53	31	95.905899	for	01073.jpg
640	1752	78	31	95.281845	such	01073.jpg
743	1762	141	30	96.547485	purpose	01073.jpg
911	1752	38	30	96.547485	be	01073.jpg
977	1752	76	38	96.874718	duly	01073.jpg
1079	1751	227	38	96.204613	compensated	01073.jpg
1335	1750	164	37	96.204613	therefor;	01073.jpg
1527	1761	84	25	96.93409	now,	01073.jpg
365	1802	173	37	-1.0		01073.jpg
365	1802	173	37	-1.0		01073.jpg
365	1802	173	37	-1.0		01073.jpg
365	1802	173	37	96.689896	therefore,	01073.jpg
413	1876	1198	40	-1.0		01073.jpg
413	1876	1198	40	-1.0		01073.jpg
413	1876	1198	40	-1.0		01073.jpg
413	1877	147	33	96.423744	Section	01073.jpg
581	1879	31	31	95.865715	1.	01073.jpg
632	1877	195	34	96.311623	Governor	01073.jpg
843	1877	76	33	96.113213	and	01073.jpg
938	1877	185	39	96.290337	Attorney	01073.jpg
1141	1876	164	34	96.069138	General	01073.jpg
1324	1877	91	39	96.069138	May	01073.jpg
1433	1877	178	33	96.828712	Contract	01073.jpg
366	1928	1246	42	-1.0		01073.jpg
366	1928	1246	42	-1.0		01073.jpg
366	1928	1246	42	-1.0		01073.jpg
366	1928	101	33	96.720383	With	01073.jpg
485	1929	126	39	96.521255	Agent	01073.jpg
628	1929	62	33	95.857849	for	01073.jpg
707	1929	149	33	96.253845	Refund	01073.jpg
875	1929	42	32	96.253845	of	01073.jpg
935	1929	127	32	93.296173	Direct	01073.jpg
1079	1928	190	33	88.304817	Tax.—Be	01073.jpg
1289	1930	24	31	95.975647	it	01073.jpg
1332	1930	147	31	96.535248	resolved	01073.jpg
1498	1930	40	40	96.535248	by	01073.jpg
1558	1930	54	31	96.499969	the	01073.jpg
364	1980	1247	42	-1.0		01073.jpg
364	1980	1247	42	-1.0		01073.jpg
364	1980	1247	42	-1.0		01073.jpg
364	1980	138	33	96.559845	General	01073.jpg
515	1983	173	39	96.227684	Assembly	01073.jpg
701	1982	37	31	96.572029	of	01073.jpg
751	1983	53	31	96.572029	the	01073.jpg
819	1982	90	33	96.736938	State	01073.jpg
922	1982	37	31	96.931656	of	01073.jpg
974	1981	102	33	96.940361	South	01073.jpg
1091	1981	169	32	96.343231	Carolina:	01073.jpg
1275	1980	85	33	96.487648	That	01073.jpg
1374	1982	54	30	96.1698	the	01073.jpg
1441	1981	170	31	96.1698	Governor	01073.jpg
364	2032	1246	42	-1.0		01073.jpg
364	2032	1246	42	-1.0		01073.jpg
364	2032	1246	42	-1.0		01073.jpg
364	2033	64	31	96.55497	and	01073.jpg
457	2034	160	40	96.431252	Attorney	01073.jpg
646	2034	139	31	95.405312	General	01073.jpg
813	2034	49	37	95.405312	be,	01073.jpg
890	2033	64	32	96.239449	and	01073.jpg
983	2034	75	39	96.239449	they	01073.jpg
1086	2043	55	21	96.302589	are	01073.jpg
1170	2033	129	40	96.696754	hereby,	01073.jpg
1329	2033	188	31	95.901337	authorized	01073.jpg
1547	2032	63	32	95.901337	and	01073.jpg
365	2084	1247	41	-1.0		01073.jpg
365	2084	1247	41	-1.0		01073.jpg
365	2084	1247	41	-1.0		01073.jpg
365	2086	213	39	96.468605	empowered,	01073.jpg
604	2085	31	31	96.113564	in	01073.jpg
659	2085	110	32	95.82177	behalf	01073.jpg
794	2085	37	31	95.82177	of	01073.jpg
857	2085	53	31	95.877579	the	01073.jpg
937	2084	99	37	96.305977	State,	01073.jpg
1060	2090	33	26	96.448418	to	01073.jpg
1117	2090	144	26	96.448418	contract	01073.jpg
1287	2085	78	30	96.442719	with	01073.jpg
1389	2095	41	21	96.580856	an	01073.jpg
1455	2090	96	35	96.520569	agent	01073.jpg
1574	2095	38	21	96.617111	or	01073.jpg
367	2136	1242	41	-1.0		01073.jpg
367	2136	1242	41	-1.0		01073.jpg
367	2136	1242	41	-1.0		01073.jpg
367	2137	249	40	95.094353	representative	01073.jpg
643	2136	53	32	95.781281	for	01073.jpg
721	2137	54	31	95.781281	the	01073.jpg
800	2136	100	37	96.36454	State,	01073.jpg
925	2147	87	30	96.575676	upon	01073.jpg
1037	2136	79	31	96.818954	such	01073.jpg
1140	2141	99	26	96.327843	terms	01073.jpg
1264	2147	36	21	96.385666	as	01073.jpg
1325	2137	76	39	96.796768	they	01073.jpg
1425	2136	92	31	96.604874	deem	01073.jpg
1542	2136	67	31	96.805885	best	01073.jpg
370	2186	1242	43	-1.0		01073.jpg
370	2186	1242	43	-1.0		01073.jpg
370	2186	1242	43	-1.0		01073.jpg
370	2186	50	33	96.81102	for	01073.jpg
442	2188	53	31	96.966248	the	01073.jpg
517	2199	141	30	96.348915	purpose	01073.jpg
681	2188	36	32	96.934563	of	01073.jpg
741	2188	224	41	96.493866	co-operating	01073.jpg
986	2187	78	32	96.298019	with	01073.jpg
1088	2187	93	32	96.298019	other	01073.jpg
1205	2187	107	33	96.703217	States	01073.jpg
1336	2188	32	30	95.63768	in	01073.jpg
1391	2199	41	20	96.53717	an	01073.jpg
1456	2187	99	32	96.949005	effort	01073.jpg
1578	2193	34	26	96.981544	to	01073.jpg
367	2239	1242	37	-1.0		01073.jpg
367	2239	1242	37	-1.0		01073.jpg
367	2239	1242	37	-1.0		01073.jpg
367	2239	79	32	96.621002	have	01073.jpg
477	2240	151	31	96.329559	returned	01073.jpg
659	2246	33	25	96.453033	to	01073.jpg
723	2241	53	30	96.887352	the	01073.jpg
809	2240	99	36	96.695435	State,	01073.jpg
939	2250	37	21	96.828323	or	01073.jpg
1005	2239	132	31	96.294983	citizens	01073.jpg
1167	2239	140	37	96.426041	thereof,	01073.jpg
1338	2240	54	31	96.440254	the	01073.jpg
1422	2240	102	31	96.315132	direct	01073.jpg
1555	2245	54	25	96.315132	tax	01073.jpg
365	2290	1246	42	-1.0		01073.jpg
365	2290	1246	42	-1.0		01073.jpg
365	2290	1246	42	-1.0		01073.jpg
365	2291	152	32	96.674179	collected	01073.jpg
534	2292	41	39	96.928993	by	01073.jpg
593	2292	53	31	96.434067	the	01073.jpg
665	2291	122	32	96.351158	United	01073.jpg
807	2291	106	32	96.430779	States	01073.jpg
932	2301	41	21	96.853561	on	01073.jpg
991	2296	108	26	96.611099	cotton	01073.jpg
1119	2301	37	20	96.426994	or	01073.jpg
1175	2291	92	31	96.414673	other	01073.jpg
1283	2296	154	36	96.400337	property	01073.jpg
1456	2291	30	30	96.223267	in	01073.jpg
1508	2290	103	32	96.796646	South	01073.jpg
0	0	2200	2600	-1.0		01074.jpg
382	226	1239	77	-1.0		01074.jpg
382	226	1239	77	-1.0		01074.jpg
382	226	1239	77	-1.0		01074.jpg
382	258	150	32	95.607574	Carolina	01074.jpg
554	258	117	40	96.778374	during	01074.jpg
691	258	63	31	95.200363	and	01074.jpg
778	257	167	41	95.200363	following	01074.jpg
960	226	57	77	96.940926	the	01074.jpg
1038	258	81	31	96.803139	War	01074.jpg
1140	258	152	31	96.844101	Between	01074.jpg
1314	258	54	31	96.769615	the	01074.jpg
1391	257	124	33	92.825081	States:	01074.jpg
1540	257	81	30	91.260361	Pro-	01074.jpg
382	308	1240	41	-1.0		01074.jpg
382	308	1240	41	-1.0		01074.jpg
382	308	1240	41	-1.0		01074.jpg
382	309	105	36	96.504745	vided,	01074.jpg
506	308	68	32	96.492371	The	01074.jpg
592	309	239	40	96.280388	compensation	01074.jpg
850	309	145	31	96.578079	therefor	01074.jpg
1014	309	80	31	95.706192	shall	01074.jpg
1112	309	38	30	96.719765	be	01074.jpg
1169	309	185	39	96.719765	contingent	01074.jpg
1372	309	64	30	96.25235	and	01074.jpg
1455	308	54	31	96.695152	the	01074.jpg
1530	308	92	32	96.383804	State	01074.jpg
382	359	1013	41	-1.0		01074.jpg
382	359	1013	41	-1.0		01074.jpg
382	359	1013	41	-1.0		01074.jpg
382	360	80	30	95.969536	shall	01074.jpg
480	360	38	30	96.880836	be	01074.jpg
536	365	58	35	96.460098	put	01074.jpg
612	365	33	25	96.373367	to	01074.jpg
663	370	41	20	96.920792	no	01074.jpg
723	366	68	24	96.596878	cost	01074.jpg
809	370	58	20	96.596878	nor	01074.jpg
886	370	139	29	96.828392	expense	01074.jpg
1044	370	41	20	96.462883	on	01074.jpg
1103	365	136	26	96.296799	account	01074.jpg
1257	359	138	31	96.14489	thereof.	01074.jpg
423	409	894	41	-1.0		01074.jpg
423	409	894	41	-1.0		01074.jpg
423	409	894	41	-1.0		01074.jpg
423	411	174	39	96.439301	Approved	01074.jpg
617	411	52	30	96.439301	the	01074.jpg
690	410	72	31	95.973923	19th	01074.jpg
780	411	61	39	96.414444	day	01074.jpg
860	410	35	31	95.74968	of	01074.jpg
915	409	174	40	95.964645	February,	01074.jpg
1108	410	39	30	93.201927	A.	01074.jpg
1168	410	39	31	88.719109	D.	01074.jpg
1231	410	86	31	96.673538	1920.	01074.jpg
913	576	169	33	-1.0		01074.jpg
913	576	169	33	-1.0		01074.jpg
913	576	169	33	-1.0		01074.jpg
913	576	67	32	96.434044	No.	01074.jpg
997	577	85	32	96.053108	882.	01074.jpg
381	650	1242	35	-1.0		01074.jpg
381	650	1242	35	-1.0		01074.jpg
381	650	1242	35	-1.0		01074.jpg
381	652	37	32	96.492844	A	01074.jpg
432	652	143	33	96.179436	JOINT	01074.jpg
591	651	298	33	96.434921	RESOLUTION	01074.jpg
906	656	40	28	93.074425	to	01074.jpg
962	651	149	33	95.519356	Refund	01074.jpg
1128	656	39	28	92.322716	to	01074.jpg
1182	651	60	32	91.566963	W.	01074.jpg
1259	651	60	32	91.566963	W.	01074.jpg
1338	650	160	33	91.843193	Rhames	01074.jpg
1515	650	108	33	90.497269	Thir-	01074.jpg
480	701	1143	40	-1.0		01074.jpg
480	701	1143	40	-1.0		01074.jpg
480	701	1143	40	-1.0		01074.jpg
480	707	86	28	96.426025	teen	01074.jpg
583	702	147	33	95.645439	Dollars	01074.jpg
744	702	75	33	90.301529	and	01074.jpg
837	702	247	39	90.301529	Ninety-Four	01074.jpg
1104	701	173	40	96.573044	($13.94)	01074.jpg
1298	701	114	33	96.32888	Cents	01074.jpg
1428	703	195	38	96.219765	Overpaid	01074.jpg
481	752	607	40	-1.0		01074.jpg
481	752	607	40	-1.0		01074.jpg
481	752	607	40	-1.0		01074.jpg
481	753	120	32	96.545715	Taxes	01074.jpg
620	753	51	39	96.014389	by	01074.jpg
689	752	224	33	96.124664	Dorchester	01074.jpg
931	753	157	39	94.526985	County.	01074.jpg
431	827	1193	40	-1.0		01074.jpg
431	827	1193	40	-1.0		01074.jpg
431	827	1193	40	-1.0		01074.jpg
431	828	146	33	96.641373	Section	01074.jpg
599	829	32	32	94.904381	1.	01074.jpg
652	828	224	33	94.904381	Dorchester	01074.jpg
895	827	146	40	95.702408	County	01074.jpg
1060	833	39	28	96.070351	to	01074.jpg
1118	828	149	32	96.465935	Refund	01074.jpg
1289	827	190	40	96.520935	Overpaid	01074.jpg
1499	827	125	33	96.259041	Taxes	01074.jpg
382	879	1241	41	-1.0		01074.jpg
382	879	1241	41	-1.0		01074.jpg
382	879	1241	41	-1.0		01074.jpg
382	884	40	28	93.006607	to	01074.jpg
440	879	58	33	90.619156	W.	01074.jpg
517	879	59	32	90.264603	W.	01074.jpg
597	879	269	32	88.423882	Rhames.—Be	01074.jpg
887	880	23	31	96.849754	it	01074.jpg
931	881	145	30	96.142189	resolved	01074.jpg
1095	880	42	40	96.418312	by	01074.jpg
1157	880	54	31	96.806816	the	01074.jpg
1231	880	138	31	96.693047	General	01074.jpg
1390	880	172	40	96.342789	Assembly	01074.jpg
